Rank,Degree Name,Approximate Enrollment Share (%)
1,Bachelor of Arts (BA),34.2
2,Bachelor of Science (BSc),14.8
3,Bachelor of Commerce (BCom),13.3
4,Bachelor of Technology / Engineering (BTech/BE),11.8
5,Bachelor of Computer Applications (BCA),4.0
6,Bachelor of Business Administration (BBA),3.2
7,Bachelor of Education (BEd),2.8
8,Bachelor of Medicine and Bachelor of Surgery (MBBS),1.5
9,Bachelor of Laws (LLB / BA LLB),1.3
10,Bachelor of Pharmacy (BPharm),1.1
11,Bachelor of Science in Nursing (BSc Nursing),1.0
12,Bachelor of Science in Agriculture (BSc Agriculture),0.8
13,Bachelor of Ayurvedic Medicine and Surgery (BAMS),0.5
14,Bachelor of Design (BDes),0.4
15,Bachelor of Architecture (BArch),0.3
,Other Undergraduate Degrees (Combined),9.0
